,name,afk_time,perc
4283,cpthombre,494779.0,0.0010380375359462283
4284,xXkajusXx,494718.0,0.0010379095590319035
4285,timothywick,494379.0,0.0010371983430654099
4286,albertoelartista,494175.0,0.0010367703546961923
4287,PotatoMagic101,493800.0,0.001035983611370425
4288,Ned5524,493626.0,0.001035618562467269
4289,Saintborn,493574.0,0.0010355094673927627
4290,luka_zg,493568.0,0.0010354968794995503
4291,EliteCrystal,493484.0,0.0010353206489945785
4292,DonovanAugustine,493378.0,0.0010350982628811616
4293,iBridgeQuick,493327.0,0.0010349912657888574
4294,AuntieTris,493196.0,0.0010347164301203892
4295,Agent_DaphFrp,493020.0,0.001034347185252829
4296,Grinmace,492976.0,0.001034254874035939
4297,Xenioxx,492871.0,0.0010340345859047241
4298,KenBurning,492702.0,0.0010336800269125784
4299,TheMonsterNash2,492329.0,0.001032897479551215
4300,Ambuh_Bliss,492258.0,0.0010327485228148697
4301,Shane9900,492257.0,0.0010327464248326677
4302,Antimonstre,492144.0,0.0010325093528438364
4303,thedwarf75,491975.0,0.0010321547938516907
4304,Change_Climate,491833.0,0.0010318568803790002
4305,SvenViktorM,491734.0,0.0010316491801409975
4306,Hotdog0275,491668.0,0.0010315107133156624
4307,hydrohydro,491311.0,0.0010307617336695319
4308,Earthbound_Hiro,491286.0,0.001030709284114481
4309,builderboys10,491257.0,0.0010306484426306215
4310,DrDerek,491173.0,0.0010304722121256497
4311,ethaneuf,491165.0,0.0010304554282680332
4312,KevPNG,490901.0,0.0010299015609666932
4313,flamecobra,490896.0,0.0010298910710556828
4314,Varmkorv2000,490866.0,0.0010298281315896216
4315,Serixlbnq,490757.0,0.0010295994515295984
4316,GavinBarwell,490555.0,0.001029175659124785
4317,WolfMichelis,490397.0,0.0010288441779368618
4318,TinyVoices,490338.0,0.001028720396986941
4319,zah001,490318.0,0.0010286784373429003
4320,daanderson38,490184.0,0.001028397307727826
4321,WillChad,489870.0,0.0010277385413163833
4322,SiriusBl_,489866.0,0.0010277301493875751
4323,XrDr34m,489793.0,0.0010275769966868258
4324,caramau1,489531.0,0.0010270273253498896
4325,StankyCheese01,489433.0,0.0010268217230940892
4326,Lalovo,489330.0,0.0010266056309272784
4327,Volpiin,488960.0,0.0010258293775125215
4328,DrEaMsHoCkEr,488956.0,0.0010258209855837132
4329,Lazarbeamcloneyt,488815.0,0.0010255251700932247
4330,CobblestoneColby,488707.0,0.0010252985880154037
4331,puze_,488488.0,0.0010248391299131556
4332,ZRG2004,488328.0,0.0010245034527608281
4333,Romlops,488222.0,0.0010242810666474113
4334,Asrise,488212.0,0.0010242600868253908
4335,President_Carpe,488130.0,0.001024088052284823
